purchase_id,customer_id,product_id,quantity,purchase_date,store,name,city,signup_date,product_name,category,price,total_price
T0017,C094,P002,5,2023-01-03 16:00:00,Store A,Fiona Garcia,San Francisco,2023-10-07,Mouse,Electronics,725.12,3625.6
T0018,C083,P029,3,2023-01-03 20:00:00,Store C,Rachel Martinez,Portland,2023-09-04,Candle,Home & Garden,289.35,868.05
T0019,C036,P041,1,2023-01-04 00:00:00,Store C,Bob Davis,San Diego,2023-04-16,Yoga Mat,Sports,372.88,372.88
T0020,C019,P010,3,2023-01-04 04:00:00,Store A,Ian Kim,Portland,2023-02-24,Power Bank,Electronics,234.24,702.72
T0021,C082,P002,1,2023-01-04 08:00:00,Store B,Rachel Rodriguez,San Francisco,2023-09-01,Mouse,Electronics,725.12,725.12
T0022,C008,P011,1,2023-01-04 12:00:00,Store A,George Brown,San Diego,2023-01-22,T-Shirt,Clothing,87.89,87.89
T0023,C078,P013,1,2023-01-04 16:00:00,Store C,Diana Garcia,Seattle,2023-08-20,Sweater,Clothing,48.06,48.06
T0024,C098,P010,1,2023-01-04 20:00:00,Store A,Alice Davis,Portland,2023-10-19,Power Bank,Electronics,234.24,234.24
T0025,C078,P014,2,2023-01-05 00:00:00,Store C,Diana Garcia,Seattle,2023-08-20,Jacket,Clothing,100.98,201.96
T0026,C063,P018,2,2023-01-05 04:00:00,Store C,George Davis,San Diego,2023-07-06,Dress,Clothing,90.28,180.56
T0027,C082,P009,4,2023-01-05 08:00:00,Store A,Rachel Rodriguez,San Francisco,2023-09-01,USB Cable,Electronics,572.28,2289.12
T0028,C069,P039,2,2023-01-05 12:00:00,Store A,Laura Thompson,Seattle,2023-07-24,Poetry,Books,21.2,42.4
T0029,C076,P028,2,2023-01-05 16:00:00,Store B,Teresa Brown,Los Angeles,2023-08-14,Pillow,Home & Garden,22.22,44.44
T0030,C098,P003,1,2023-01-05 20:00:00,Store C,Alice Davis,Portland,2023-10-19,Keyboard,Electronics,836.83,836.83
T0031,C063,P020,1,2023-01-06 00:00:00,Store B,George Davis,San Diego,2023-07-06,Scarf,Clothing,114.39,114.39
T0032,C099,P006,2,2023-01-06 04:00:00,Store A,Oscar Chen,Seattle,2023-10-22,Smartphone,Electronics,94.23,188.46
T0033,C096,P027,1,2023-01-06 08:00:00,Store C,Hannah Brown,San Francisco,2023-10-13,Curtains,Home & Garden,37.36,37.36
T0034,C041,P002,3,2023-01-06 12:00:00,Store B,Fiona Lee,Seattle,2023-05-01,Mouse,Electronics,725.12,2175.36
T0035,C019,P029,1,2023-01-06 16:00:00,Store B,Ian Kim,Portland,2023-02-24,Candle,Home & Garden,289.35,289.35
T0036,C026,P038,1,2023-01-06 20:00:00,Store B,Oscar Brown,Los Angeles,2023-03-17,Self-Help,Books,36.41,36.41
T0037,C006,P003,1,2023-01-07 00:00:00,Store A,Oscar Brown,Seattle,2023-01-16,Keyboard,Electronics,836.83,836.83
T0038,C024,P016,1,2023-01-07 04:00:00,Store A,Steve Jackson,Portland,2023-03-11,Hat,Clothing,26.72,26.72
T0039,C085,P030,1,2023-01-07 08:00:00,Store A,Ian Patel,Portland,2023-09-10,Picture Frame,Home & Garden,253.25,253.25
T0040,C019,P040,2,2023-01-07 12:00:00,Store C,Ian Kim,Portland,2023-02-24,Reference Book,Books,48.19,96.38
T0041,C056,P002,1,2023-01-07 16:00:00,Store A,George Patel,Sacramento,2023-06-15,Mouse,Electronics,725.12,725.12
T0042,C093,P017,2,2023-01-07 20:00:00,Store C,Nina Rodriguez,Los Angeles,2023-10-04,Socks,Clothing,89.08,178.16
T0043,C008,P041,1,2023-01-08 00:00:00,Store B,George Brown,San Diego,2023-01-22,Yoga Mat,Sports,372.88,372.88
T0044,C092,P012,1,2023-01-08 04:00:00,Store B,Steve Garcia,Los Angeles,2023-10-01,Jeans,Clothing,120.1,120.1
T0045,C052,P035,1,2023-01-08 08:00:00,Store A,Charlie Patel,Los Angeles,2023-06-03,Magazine,Books,20.01,20.01
T0046,C029,P043,3,2023-01-08 12:00:00,Store B,Quinn Jackson,San Francisco,2023-03-26,Tennis Racket,Sports,311.68,935.04
T0047,C085,P001,1,2023-01-08 16:00:00,Store A,Ian Patel,Portland,2023-09-10,Laptop,Electronics,102.12,102.12
T0048,C081,P045,3,2023-01-08 20:00:00,Store C,Charlie Anderson,San Diego,2023-08-29,Running Shoes,Sports,135.15,405.45
T0049,C095,P015,1,2023-01-09 00:00:00,Store B,Michael Kim,Los Angeles,2023-10-10,Shoes,Clothing,31.1,31.1
T0050,C088,P026,3,2023-01-09 04:00:00,Store A,Patricia Patel,San Francisco,2023-09-19,Rug,Home & Garden,140.11,420.33
T0051,C091,P037,1,2023-01-09 08:00:00,Store B,Alice Davis,Seattle,2023-09-28,Travel Guide,Books,38.58,38.58
T0052,C052,P021,2,2023-01-09 12:00:00,Store B,Charlie Patel,Los Angeles,2023-06-03,Coffee Maker,Home & Garden,293.12,586.24
T0053,C039,P049,2,2023-01-09 16:00:00,Store A,Bob Thompson,Los Angeles,2023-04-25,Bicycle,Sports,71.3,142.6
T0054,C088,P031,4,2023-01-09 20:00:00,Store B,Patricia Patel,San Francisco,2023-09-19,Fiction Novel,Books,37.84,151.36
T0055,C091,P025,1,2023-01-10 00:00:00,Store B,Alice Davis,Seattle,2023-09-28,Plant Pot,Home & Garden,92.19,92.19
T0056,C100,P023,1,2023-01-10 04:00:00,Store B,Eric Davis,Seattle,2023-10-25,Vacuum,Home & Garden,107.04,107.04
T0057,C065,P024,1,2023-01-10 08:00:00,Store B,Patricia Anderson,Portland,2023-07-12,Lamp,Home & Garden,241.63,241.63
T0058,C062,P038,3,2023-01-10 12:00:00,Store C,Julia Kim,Portland,2023-07-03,Self-Help,Books,36.41,109.23
T0059,C090,P028,2,2023-01-10 16:00:00,Store B,Charlie Chen,San Francisco,2023-09-25,Pillow,Home & Garden,22.22,44.44
T0060,C059,P021,3,2023-01-10 20:00:00,Store B,Rachel Wilson,Seattle,2023-06-24,Coffee Maker,Home & Garden,293.12,879.36
T0061,C097,P043,1,2023-01-11 00:00:00,Store A,Bob Thompson,San Francisco,2023-10-16,Tennis Racket,Sports,311.68,311.68
T0062,C094,P018,1,2023-01-11 04:00:00,Store C,Fiona Garcia,San Francisco,2023-10-07,Dress,Clothing,90.28,90.28
T0063,C067,P036,1,2023-01-11 08:00:00,Store A,Quinn Martinez,Seattle,2023-07-18,Comic Book,Books,31.97,31.97
T0064,C088,P035,4,2023-01-11 12:00:00,Store A,Patricia Patel,San Francisco,2023-09-19,Magazine,Books,20.01,80.04
T0065,C089,P045,2,2023-01-11 16:00:00,Store A,Hannah Lee,San Diego,2023-09-22,Running Shoes,Sports,135.15,270.3
T0066,C026,P009,4,2023-01-11 20:00:00,Store C,Oscar Brown,Los Angeles,2023-03-17,USB Cable,Electronics,572.28,2289.12
T0067,C096,P038,1,2023-01-12 00:00:00,Store A,Hannah Brown,San Francisco,2023-10-13,Self-Help,Books,36.41,36.41
T0068,C073,P030,2,2023-01-12 04:00:00,Store A,Patricia Kim,Seattle,2023-08-05,Picture Frame,Home & Garden,253.25,506.5
T0069,C092,P044,2,2023-01-12 08:00:00,Store A,Steve Garcia,Los Angeles,2023-10-01,Soccer Ball,Sports,218.51,437.02
T0070,C056,P034,1,2023-01-12 12:00:00,Store B,George Patel,Sacramento,2023-06-15,Textbook,Books,16.26,16.26
T0071,C096,P032,3,2023-01-12 16:00:00,Store A,Hannah Brown,San Francisco,2023-10-13,Cookbook,Books,26.36,79.08
T0072,C063,P003,4,2023-01-12 20:00:00,Store C,George Davis,San Diego,2023-07-06,Keyboard,Electronics,836.83,3347.32
T0073,C004,P003,3,2023-01-13 00:00:00,Store C,Eric Lee,San Francisco,2023-01-10,Keyboard,Electronics,836.83,2510.49
T0074,C096,P028,2,2023-01-13 04:00:00,Store B,Hannah Brown,San Francisco,2023-10-13,Pillow,Home & Garden,22.22,44.44
T0075,C024,P044,1,2023-01-13 08:00:00,Store C,Steve Jackson,Portland,2023-03-11,Soccer Ball,Sports,218.51,218.51
T0076,C056,P015,1,2023-01-13 12:00:00,Store C,George Patel,Sacramento,2023-06-15,Shoes,Clothing,31.1,31.1
T0077,C098,P041,4,2023-01-13 16:00:00,Store B,Alice Davis,Portland,2023-10-19,Yoga Mat,Sports,372.88,1491.52
T0078,C098,P023,1,2023-01-13 20:00:00,Store A,Alice Davis,Portland,2023-10-19,Vacuum,Home & Garden,107.04,107.04
T0079,C078,P040,2,2023-01-14 00:00:00,Store B,Diana Garcia,Seattle,2023-08-20,Reference Book,Books,48.19,96.38
T0080,C081,P011,2,2023-01-14 04:00:00,Store A,Charlie Anderson,San Diego,2023-08-29,T-Shirt,Clothing,87.89,175.78
T0081,C068,P048,2,2023-01-14 08:00:00,Store A,Alice Rodriguez,San Diego,2023-07-21,Jump Rope,Sports,21.98,43.96
T0082,C054,P032,5,2023-01-14 12:00:00,Store C,Charlie Singh,San Diego,2023-06-09,Cookbook,Books,26.36,131.8
T0083,C057,P036,1,2023-01-14 16:00:00,Store B,Ian Chen,Seattle,2023-06-18,Comic Book,Books,31.97,31.97
T0084,C084,P033,1,2023-01-14 20:00:00,Store C,Charlie Miller,Seattle,2023-09-07,Biography,Books,16.93,16.93
T0085,C089,P024,1,2023-01-15 00:00:00,Store C,Hannah Lee,San Diego,2023-09-22,Lamp,Home & Garden,241.63,241.63
T0086,C091,P039,1,2023-01-15 04:00:00,Store A,Alice Davis,Seattle,2023-09-28,Poetry,Books,21.2,21.2
T0087,C091,P034,1,2023-01-15 08:00:00,Store C,Alice Davis,Seattle,2023-09-28,Textbook,Books,16.26,16.26
T0088,C024,P028,1,2023-01-15 12:00:00,Store B,Steve Jackson,Portland,2023-03-11,Pillow,Home & Garden,22.22,22.22
T0089,C072,P037,3,2023-01-15 16:00:00,Store C,Charlie Kim,Seattle,2023-08-02,Travel Guide,Books,38.58,115.74
T0090,C016,P007,4,2023-01-15 20:00:00,Store C,George Rodriguez,Seattle,2023-02-15,Headphones,Electronics,104.15,416.6
T0091,C076,P004,1,2023-01-16 00:00:00,Store A,Teresa Brown,Los Angeles,2023-08-14,Monitor,Electronics,465.48,465.48
T0092,C068,P037,1,2023-01-16 04:00:00,Store B,Alice Rodriguez,San Diego,2023-07-21,Travel Guide,Books,38.58,38.58
T0093,C095,P001,4,2023-01-16 08:00:00,Store C,Michael Kim,Los Angeles,2023-10-10,Laptop,Electronics,102.12,408.48
T0094,C060,P001,1,2023-01-16 12:00:00,Store A,Alice Brown,Portland,2023-06-27,Laptop,Electronics,102.12,102.12
T0095,C029,P047,1,2023-01-16 16:00:00,Store C,Quinn Jackson,San Francisco,2023-03-26,Resistance Bands,Sports,382.56,382.56
T0096,C033,P020,1,2023-01-16 20:00:00,Store B,Eric Chen,Seattle,2023-04-07,Scarf,Clothing,114.39,114.39
T0097,C089,P019,2,2023-01-17 00:00:00,Store C,Hannah Lee,San Diego,2023-09-22,Shorts,Clothing,102.87,205.74
T0098,C081,P029,1,2023-01-17 04:00:00,Store C,Charlie Anderson,San Diego,2023-08-29,Candle,Home & Garden,289.35,289.35
T0099,C026,P010,4,2023-01-17 08:00:00,Store A,Oscar Brown,Los Angeles,2023-03-17,Power Bank,Electronics,234.24,936.96
T0100,C022,P018,1,2023-01-17 12:00:00,Store C,Ian Rodriguez,Seattle,2023-03-05,Dress,Clothing,90.28,90.28
T0101,C086,P028,2,2023-01-17 16:00:00,Store A,Alice Patel,Portland,2023-09-13,Pillow,Home & Garden,22.22,44.44
T0102,C020,P035,1,2023-01-17 20:00:00,Store B,George Garcia,Portland,2023-02-27,Magazine,Books,20.01,20.01
T0103,C092,P043,1,2023-01-18 00:00:00,Store C,Steve Garcia,Los Angeles,2023-10-01,Tennis Racket,Sports,311.68,311.68
T0104,C086,P047,2,2023-01-18 04:00:00,Store B,Alice Patel,Portland,2023-09-13,Resistance Bands,Sports,382.56,765.12
T0105,C022,P031,3,2023-01-18 08:00:00,Store B,Ian Rodriguez,Seattle,2023-03-05,Fiction Novel,Books,37.84,113.52
T0106,C022,P027,3,2023-01-18 12:00:00,Store C,Ian Rodriguez,Seattle,2023-03-05,Curtains,Home & Garden,37.36,112.08
T0107,C100,P011,2,2023-01-18 16:00:00,Store A,Eric Davis,Seattle,2023-10-25,T-Shirt,Clothing,87.89,175.78
T0108,C062,P049,4,2023-01-18 20:00:00,Store B,Julia Kim,Portland,2023-07-03,Bicycle,Sports,71.3,285.2
T0109,C061,P049,3,2023-01-19 00:00:00,Store B,Rachel Lee,Portland,2023-06-30,Bicycle,Sports,71.3,213.9
T0110,C092,P038,3,2023-01-19 04:00:00,Store C,Steve Garcia,Los Angeles,2023-10-01,Self-Help,Books,36.41,109.23
T0111,C098,P005,1,2023-01-19 08:00:00,Store C,Alice Davis,Portland,2023-10-19,Tablet,Electronics,906.71,906.71
T0112,C100,P008,1,2023-01-19 12:00:00,Store C,Eric Davis,Seattle,2023-10-25,Webcam,Electronics,1242.77,1242.77
T0113,C089,P034,1,2023-01-19 16:00:00,Store C,Hannah Lee,San Diego,2023-09-22,Textbook,Books,16.26,16.26
T0114,C062,P048,2,2023-01-19 20:00:00,Store C,Julia Kim,Portland,2023-07-03,Jump Rope,Sports,21.98,43.96
T0115,C022,P012,1,2023-01-20 00:00:00,Store C,Ian Rodriguez,Seattle,2023-03-05,Jeans,Clothing,120.1,120.1
T0116,C090,P038,1,2023-01-20 04:00:00,Store A,Charlie Chen,San Francisco,2023-09-25,Self-Help,Books,36.41,36.41
T0117,C077,P001,3,2023-01-20 08:00:00,Store B,Quinn Wilson,Los Angeles,2023-08-17,Laptop,Electronics,102.12,306.36
T0118,C066,P031,3,2023-01-20 12:00:00,Store A,Teresa Davis,San Francisco,2023-07-15,Fiction Novel,Books,37.84,113.52
T0119,C096,P004,4,2023-01-20 16:00:00,Store A,Hannah Brown,San Francisco,2023-10-13,Monitor,Electronics,465.48,1861.92
T0120,C028,P049,1,2023-01-20 20:00:00,Store C,Quinn Rodriguez,San Francisco,2023-03-23,Bicycle,Sports,71.3,71.3
T0121,C072,P045,2,2023-01-21 00:00:00,Store B,Charlie Kim,Seattle,2023-08-02,Running Shoes,Sports,135.15,270.3
T0122,C004,P050,1,2023-01-21 04:00:00,Store A,Eric Lee,San Francisco,2023-01-10,Skateboard,Sports,37.31,37.31
T0123,C070,P005,1,2023-01-21 08:00:00,Store C,Eric Brown,Sacramento,2023-07-27,Tablet,Electronics,906.71,906.71
T0124,C016,P030,1,2023-01-21 12:00:00,Store C,George Rodriguez,Seattle,2023-02-15,Picture Frame,Home & Garden,253.25,253.25
T0125,C029,P024,1,2023-01-21 16:00:00,Store B,Quinn Jackson,San Francisco,2023-03-26,Lamp,Home & Garden,241.63,241.63
T0126,C029,P003,1,2023-01-21 20:00:00,Store A,Quinn Jackson,San Francisco,2023-03-26,Keyboard,Electronics,836.83,836.83
T0127,C083,P011,3,2023-01-22 00:00:00,Store A,Rachel Martinez,Portland,2023-09-04,T-Shirt,Clothing,87.89,263.67
T0128,C088,P045,1,2023-01-22 04:00:00,Store A,Patricia Patel,San Francisco,2023-09-19,Running Shoes,Sports,135.15,135.15
T0129,C078,P004,2,2023-01-22 08:00:00,Store C,Diana Garcia,Seattle,2023-08-20,Monitor,Electronics,465.48,930.96
T0130,C099,P026,2,2023-01-22 12:00:00,Store B,Oscar Chen,Seattle,2023-10-22,Rug,Home & Garden,140.11,280.22
T0131,C062,P027,1,2023-01-22 16:00:00,Store B,Julia Kim,Portland,2023-07-03,Curtains,Home & Garden,37.36,37.36
T0132,C053,P046,1,2023-01-22 20:00:00,Store A,Diana Kim,Sacramento,2023-06-06,Water Bottle,Sports,187.65,187.65
T0133,C095,P043,1,2023-01-23 00:00:00,Store C,Michael Kim,Los Angeles,2023-10-10,Tennis Racket,Sports,311.68,311.68
T0134,C045,P027,2,2023-01-23 04:00:00,Store A,Fiona Wilson,Portland,2023-05-13,Curtains,Home & Garden,37.36,74.72
T0135,C099,P042,1,2023-01-23 08:00:00,Store B,Oscar Chen,Seattle,2023-10-22,Dumbbells,Sports,283.86,283.86
T0136,C004,P050,1,2023-01-23 12:00:00,Store C,Eric Lee,San Francisco,2023-01-10,Skateboard,Sports,37.31,37.31
T0137,C099,P006,1,2023-01-23 16:00:00,Store A,Oscar Chen,Seattle,2023-10-22,Smartphone,Electronics,94.23,94.23
T0138,C013,P015,2,2023-01-23 20:00:00,Store A,Laura Davis,San Diego,2023-02-06,Shoes,Clothing,31.1,62.2
T0139,C096,P030,4,2023-01-24 00:00:00,Store C,Hannah Brown,San Francisco,2023-10-13,Picture Frame,Home & Garden,253.25,1013.0
T0140,C074,P042,1,2023-01-24 04:00:00,Store B,Teresa Wilson,San Diego,2023-08-08,Dumbbells,Sports,283.86,283.86
T0141,C100,P037,2,2023-01-24 08:00:00,Store C,Eric Davis,Seattle,2023-10-25,Travel Guide,Books,38.58,77.16
T0142,C020,P037,2,2023-01-24 12:00:00,Store A,George Garcia,Portland,2023-02-27,Travel Guide,Books,38.58,77.16
T0143,C076,P042,4,2023-01-24 16:00:00,Store A,Teresa Brown,Los Angeles,2023-08-14,Dumbbells,Sports,283.86,1135.44
T0144,C099,P037,3,2023-01-24 20:00:00,Store A,Oscar Chen,Seattle,2023-10-22,Travel Guide,Books,38.58,115.74
T0145,C074,P035,2,2023-01-25 00:00:00,Store A,Teresa Wilson,San Diego,2023-08-08,Magazine,Books,20.01,40.02
T0146,C081,P023,2,2023-01-25 04:00:00,Store B,Charlie Anderson,San Diego,2023-08-29,Vacuum,Home & Garden,107.04,214.08
T0147,C085,P006,3,2023-01-25 08:00:00,Store B,Ian Patel,Portland,2023-09-10,Smartphone,Electronics,94.23,282.69
T0148,C069,P004,1,2023-01-25 12:00:00,Store A,Laura Thompson,Seattle,2023-07-24,Monitor,Electronics,465.48,465.48
T0149,C081,P018,1,2023-01-25 16:00:00,Store B,Charlie Anderson,San Diego,2023-08-29,Dress,Clothing,90.28,90.28
T0150,C078,P009,1,2023-01-25 20:00:00,Store B,Diana Garcia,Seattle,2023-08-20,USB Cable,Electronics,572.28,572.28
T0151,C096,P049,3,2023-01-26 00:00:00,Store B,Hannah Brown,San Francisco,2023-10-13,Bicycle,Sports,71.3,213.9
T0152,C013,P029,3,2023-01-26 04:00:00,Store A,Laura Davis,San Diego,2023-02-06,Candle,Home & Garden,289.35,868.05
T0153,C052,P013,1,2023-01-26 08:00:00,Store C,Charlie Patel,Los Angeles,2023-06-03,Sweater,Clothing,48.06,48.06
T0154,C098,P047,2,2023-01-26 12:00:00,Store C,Alice Davis,Portland,2023-10-19,Resistance Bands,Sports,382.56,765.12
T0155,C096,P017,1,2023-01-26 16:00:00,Store C,Hannah Brown,San Francisco,2023-10-13,Socks,Clothing,89.08,89.08
T0156,C069,P045,1,2023-01-26 20:00:00,Store A,Laura Thompson,Seattle,2023-07-24,Running Shoes,Sports,135.15,135.15
T0157,C081,P032,5,2023-01-27 00:00:00,Store B,Charlie Anderson,San Diego,2023-08-29,Cookbook,Books,26.36,131.8
T0158,C052,P048,1,2023-01-27 04:00:00,Store B,Charlie Patel,Los Angeles,2023-06-03,Jump Rope,Sports,21.98,21.98
T0159,C040,P022,1,2023-01-27 08:00:00,Store A,Laura Jackson,Portland,2023-04-28,Blender,Home & Garden,162.15,162.15
T0160,C070,P004,2,2023-01-27 12:00:00,Store A,Eric Brown,Sacramento,2023-07-27,Monitor,Electronics,465.48,930.96
T0161,C060,P005,2,2023-01-27 16:00:00,Store C,Alice Brown,Portland,2023-06-27,Tablet,Electronics,906.71,1813.42
T0162,C078,P037,1,2023-01-27 20:00:00,Store C,Diana Garcia,Seattle,2023-08-20,Travel Guide,Books,38.58,38.58
T0163,C021,P041,2,2023-01-28 00:00:00,Store A,Hannah Brown,San Francisco,2023-03-02,Yoga Mat,Sports,372.88,745.76
T0164,C099,P049,2,2023-01-28 04:00:00,Store C,Oscar Chen,Seattle,2023-10-22,Bicycle,Sports,71.3,142.6
T0165,C100,P013,1,2023-01-28 08:00:00,Store B,Eric Davis,Seattle,2023-10-25,Sweater,Clothing,48.06,48.06
T0166,C085,P034,1,2023-01-28 12:00:00,Store A,Ian Patel,Portland,2023-09-10,Textbook,Books,16.26,16.26
T0167,C075,P045,2,2023-01-28 16:00:00,Store A,Alice Wilson,Los Angeles,2023-08-11,Running Shoes,Sports,135.15,270.3
T0168,C055,P022,1,2023-01-28 20:00:00,Store B,Steve Patel,San Francisco,2023-06-12,Blender,Home & Garden,162.15,162.15
T0169,C092,P023,4,2023-01-29 00:00:00,Store B,Steve Garcia,Los Angeles,2023-10-01,Vacuum,Home & Garden,107.04,428.16
T0170,C085,P003,3,2023-01-29 04:00:00,Store B,Ian Patel,Portland,2023-09-10,Keyboard,Electronics,836.83,2510.49
T0171,C036,P042,5,2023-01-29 08:00:00,Store C,Bob Davis,San Diego,2023-04-16,Dumbbells,Sports,283.86,1419.3
T0172,C097,P034,1,2023-01-29 12:00:00,Store A,Bob Thompson,San Francisco,2023-10-16,Textbook,Books,16.26,16.26
T0173,C092,P032,4,2023-01-29 16:00:00,Store C,Steve Garcia,Los Angeles,2023-10-01,Cookbook,Books,26.36,105.44
T0174,C098,P045,1,2023-01-29 20:00:00,Store B,Alice Davis,Portland,2023-10-19,Running Shoes,Sports,135.15,135.15
T0175,C087,P049,1,2023-01-30 00:00:00,Store C,Alice Rodriguez,Los Angeles,2023-09-16,Bicycle,Sports,71.3,71.3
T0176,C080,P021,1,2023-01-30 04:00:00,Store B,Charlie Rodriguez,Seattle,2023-08-26,Coffee Maker,Home & Garden,293.12,293.12
T0177,C066,P046,1,2023-01-30 08:00:00,Store C,Teresa Davis,San Francisco,2023-07-15,Water Bottle,Sports,187.65,187.65
T0178,C098,P044,2,2023-01-30 12:00:00,Store C,Alice Davis,Portland,2023-10-19,Soccer Ball,Sports,218.51,437.02
T0179,C094,P021,1,2023-01-30 16:00:00,Store B,Fiona Garcia,San Francisco,2023-10-07,Coffee Maker,Home & Garden,293.12,293.12
T0180,C013,P044,1,2023-01-30 20:00:00,Store C,Laura Davis,San Diego,2023-02-06,Soccer Ball,Sports,218.51,218.51
T0181,C008,P011,2,2023-01-31 00:00:00,Store A,George Brown,San Diego,2023-01-22,T-Shirt,Clothing,87.89,175.78
T0182,C062,P039,1,2023-01-31 04:00:00,Store C,Julia Kim,Portland,2023-07-03,Poetry,Books,21.2,21.2
T0183,C092,P004,2,2023-01-31 08:00:00,Store C,Steve Garcia,Los Angeles,2023-10-01,Monitor,Electronics,465.48,930.96
T0184,C100,P001,1,2023-01-31 12:00:00,Store A,Eric Davis,Seattle,2023-10-25,Laptop,Electronics,102.12,102.12
T0185,C034,P028,3,2023-01-31 16:00:00,Store B,Quinn Brown,Sacramento,2023-04-10,Pillow,Home & Garden,22.22,66.66
T0186,C079,P024,3,2023-01-31 20:00:00,Store A,Hannah Patel,Portland,2023-08-23,Lamp,Home & Garden,241.63,724.89
T0187,C062,P035,1,2023-02-01 00:00:00,Store C,Julia Kim,Portland,2023-07-03,Magazine,Books,20.01,20.01
T0188,C099,P013,1,2023-02-01 04:00:00,Store B,Oscar Chen,Seattle,2023-10-22,Sweater,Clothing,48.06,48.06
T0189,C093,P047,1,2023-02-01 08:00:00,Store C,Nina Rodriguez,Los Angeles,2023-10-04,Resistance Bands,Sports,382.56,382.56
T0190,C093,P034,3,2023-02-01 12:00:00,Store C,Nina Rodriguez,Los Angeles,2023-10-04,Textbook,Books,16.26,48.78
T0191,C070,P011,1,2023-02-01 16:00:00,Store A,Eric Brown,Sacramento,2023-07-27,T-Shirt,Clothing,87.89,87.89
T0192,C065,P036,1,2023-02-01 20:00:00,Store A,Patricia Anderson,Portland,2023-07-12,Comic Book,Books,31.97,31.97
T0193,C051,P017,1,2023-02-02 00:00:00,Store B,Fiona Miller,Sacramento,2023-05-31,Socks,Clothing,89.08,89.08
T0194,C016,P035,1,2023-02-02 04:00:00,Store B,George Rodriguez,Seattle,2023-02-15,Magazine,Books,20.01,20.01
T0195,C094,P018,1,2023-02-02 08:00:00,Store B,Fiona Garcia,San Francisco,2023-10-07,Dress,Clothing,90.28,90.28
T0196,C092,P040,3,2023-02-02 12:00:00,Store C,Steve Garcia,Los Angeles,2023-10-01,Reference Book,Books,48.19,144.57
T0197,C100,P022,1,2023-02-02 16:00:00,Store A,Eric Davis,Seattle,2023-10-25,Blender,Home & Garden,162.15,162.15
T0198,C100,P024,1,2023-02-02 20:00:00,Store A,Eric Davis,Seattle,2023-10-25,Lamp,Home & Garden,241.63,241.63
T0199,C076,P019,3,2023-02-03 00:00:00,Store A,Teresa Brown,Los Angeles,2023-08-14,Shorts,Clothing,102.87,308.61
T0200,C089,P037,3,2023-02-03 04:00:00,Store B,Hannah Lee,San Diego,2023-09-22,Travel Guide,Books,38.58,115.74
T0201,C098,P039,1,2023-02-03 08:00:00,Store A,Alice Davis,Portland,2023-10-19,Poetry,Books,21.2,21.2
T0202,C094,P021,1,2023-02-03 12:00:00,Store A,Fiona Garcia,San Francisco,2023-10-07,Coffee Maker,Home & Garden,293.12,293.12
T0203,C048,P008,1,2023-02-03 16:00:00,Store A,Kevin Singh,San Francisco,2023-05-22,Webcam,Electronics,1242.77,1242.77
T0204,C068,P028,4,2023-02-03 20:00:00,Store B,Alice Rodriguez,San Diego,2023-07-21,Pillow,Home & Garden,22.22,88.88
